Nome da Empresa	Valor total adquirido	Valor Empenhado
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$699,25
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$108,30
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$309,70
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$4.679,90
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$238,92
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$275,04
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$1.011,15
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$1.400,00
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$240,00
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$57,90
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$233,02
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$89,10
FASTLABOR COMERCIAL LTDA	R$5.191,33	R$5.191,33
LAB VISION - COMERCIO DE PRODUTOS LABORATORIAIS LTDA	R$2.637,41	R$1.494,77
LAB VISION - COMERCIO DE PRODUTOS LABORATORIAIS LTDA	R$2.637,41	R$628,44
LAB VISION - COMERCIO DE PRODUTOS LABORATORIAIS LTDA	R$2.637,41	R$171,60
LAB VISION - COMERCIO DE PRODUTOS LABORATORIAIS LTDA	R$2.637,41	R$237,60
LAB VISION - COMERCIO DE PRODUTOS LABORATORIAIS LTDA	R$2.637,41	R$105,00
GUISOTECH COMERCIO DE EQUIPAMENTOS LTDA	R$3.018,50	R$690,00
GUISOTECH COMERCIO DE EQUIPAMENTOS LTDA	R$3.018,50	R$1.100,00
GUISOTECH COMERCIO DE EQUIPAMENTOS LTDA	R$3.018,50	R$1.228,50
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$130,00
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$201,00
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$655,86
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$570,00
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$1.043,13
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$227,88
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$658,20
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$330,00
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$160,60
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$1.943,50
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$119,70
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$18.032,00
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$219,90
SA CONSUMIVEIS PRODUTOS DE LABORATORIO LTDA	R$24.390,62	R$98,85
PROC9 INDUSTRIA QUIMICA LTDA.	R$0,00	R$ -
OBAH PRODUTOS E SERVICOS ANALITICOS LTDA.	R$10.328,94	R$2.425,00
OBAH PRODUTOS E SERVICOS ANALITICOS LTDA.	R$10.328,94	R$3.650,00
OBAH PRODUTOS E SERVICOS ANALITICOS LTDA.	R$10.328,94	R$288,00
OBAH PRODUTOS E SERVICOS ANALITICOS LTDA.	R$10.328,94	R$3.450,00
OBAH PRODUTOS E SERVICOS ANALITICOS LTDA.	R$10.328,94	R$515,94
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$290,00
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$220,00
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$60,00
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$190,00
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$347,15
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$342,30
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$215,00
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$213,98
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	R$15.003,39	R$680,00
